rid,rname,rdescription,rrequirements_json
113,Senior Floor Supervisor,Executing high-level Sales independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
114,Lead Floor Supervisor,Leading a team of professionals in Sales project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
115,Head of Floor Supervisor,Defining the long-term strategy for Sales departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Customer Persuasion"", ""Inventory Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
116,Junior Marketing Executive,Assisting in daily tasks and learning Marketing operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
117,Assistant Marketing Executive,Supporting the department with Marketing administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
118,Senior Marketing Executive,Executing high-level Marketing independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
119,Lead Marketing Executive,Leading a team of professionals in Marketing project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
120,Head of Marketing Executive,Defining the long-term strategy for Marketing departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
121,Junior Social Media Manager,Assisting in daily tasks and learning Marketing operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
122,Assistant Social Media Manager,Supporting the department with Marketing administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
123,Senior Social Media Manager,Executing high-level Marketing independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
124,Lead Social Media Manager,Leading a team of professionals in Marketing project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
125,Head of Social Media Manager,Defining the long-term strategy for Marketing departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
126,Junior Content Creator,Assisting in daily tasks and learning Marketing operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
127,Assistant Content Creator,Supporting the department with Marketing administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
128,Senior Content Creator,Executing high-level Marketing independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
129,Lead Content Creator,Leading a team of professionals in Marketing project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
130,Head of Content Creator,Defining the long-term strategy for Marketing departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
131,Junior Media Planner,Assisting in daily tasks and learning Marketing operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
132,Assistant Media Planner,Supporting the department with Marketing administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
133,Senior Media Planner,Executing high-level Marketing independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
134,Lead Media Planner,Leading a team of professionals in Marketing project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
135,Head of Media Planner,Defining the long-term strategy for Marketing departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Strategic Planning"", ""Stakeholder Management""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
136,Junior Delivery Driver,Assisting in daily tasks and learning Transport operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
137,Assistant Delivery Driver,Supporting the department with Transport administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
138,Senior Delivery Driver,Executing high-level Transport independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
139,Lead Delivery Driver,Leading a team of professionals in Transport project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
140,Head of Delivery Driver,Defining the long-term strategy for Transport departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
141,Junior Fleet Coordinator,Assisting in daily tasks and learning Transport operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
142,Assistant Fleet Coordinator,Supporting the department with Transport administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
143,Senior Fleet Coordinator,Executing high-level Transport independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
144,Lead Fleet Coordinator,Leading a team of professionals in Transport project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
145,Head of Fleet Coordinator,Defining the long-term strategy for Transport departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
146,Junior Route Planner,Assisting in daily tasks and learning Transport operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
147,Assistant Route Planner,Supporting the department with Transport administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
148,Senior Route Planner,Executing high-level Transport independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
149,Lead Route Planner,Leading a team of professionals in Transport project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
150,Head of Route Planner,Defining the long-term strategy for Transport departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Valid License"", ""Route Optimization""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
151,Junior Accountant,Assisting in daily tasks and learning Finance Legal operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
152,Assistant Accountant,Supporting the department with Finance Legal administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
153,Senior Accountant,Executing high-level Finance Legal independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
154,Lead Accountant,Leading a team of professionals in Finance Legal project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
155,Head of Accountant,Defining the long-term strategy for Finance Legal departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
156,Junior Financial Controller,Assisting in daily tasks and learning Finance Legal operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
157,Assistant Financial Controller,Supporting the department with Finance Legal administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
158,Senior Financial Controller,Executing high-level Finance Legal independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
159,Lead Financial Controller,Leading a team of professionals in Finance Legal project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
160,Head of Financial Controller,Defining the long-term strategy for Finance Legal departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
161,Junior Company Lawyer,Assisting in daily tasks and learning Finance Legal operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Legal Compliance"", ""Contract Law""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
162,Assistant Company Lawyer,Supporting the department with Finance Legal administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Legal Compliance"", ""Contract Law""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
163,Senior Company Lawyer,Executing high-level Finance Legal independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Legal Compliance"", ""Contract Law""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
164,Lead Company Lawyer,Leading a team of professionals in Finance Legal project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Legal Compliance"", ""Contract Law""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
165,Head of Company Lawyer,Defining the long-term strategy for Finance Legal departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Legal Compliance"", ""Contract Law""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
166,Junior Legal Consultant,Assisting in daily tasks and learning Finance Legal operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
167,Assistant Legal Consultant,Supporting the department with Finance Legal administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
168,Senior Legal Consultant,Executing high-level Finance Legal independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
169,Lead Legal Consultant,Leading a team of professionals in Finance Legal project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
170,Head of Legal Consultant,Defining the long-term strategy for Finance Legal departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
171,Junior Bookkeeper,Assisting in daily tasks and learning Finance Legal operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
172,Assistant Bookkeeper,Supporting the department with Finance Legal administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
173,Senior Bookkeeper,Executing high-level Finance Legal independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
174,Lead Bookkeeper,Leading a team of professionals in Finance Legal project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
175,Head of Bookkeeper,Defining the long-term strategy for Finance Legal departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Financial Reporting"", ""ERP Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
176,Junior Shoe Designer,Assisting in daily tasks and learning Design operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
177,Assistant Shoe Designer,Supporting the department with Design administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
178,Senior Shoe Designer,Executing high-level Design independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
179,Lead Shoe Designer,Leading a team of professionals in Design project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
180,Head of Shoe Designer,Defining the long-term strategy for Design departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
181,Junior Pattern Maker,Assisting in daily tasks and learning Design operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
182,Assistant Pattern Maker,Supporting the department with Design administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
183,Senior Pattern Maker,Executing high-level Design independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
184,Lead Pattern Maker,Leading a team of professionals in Design project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
185,Head of Pattern Maker,Defining the long-term strategy for Design departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
186,Junior Material Specialist,Assisting in daily tasks and learning Design operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
187,Assistant Material Specialist,Supporting the department with Design administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
188,Senior Material Specialist,Executing high-level Design independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
189,Lead Material Specialist,Leading a team of professionals in Design project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
190,Head of Material Specialist,Defining the long-term strategy for Design departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
191,Junior Creative Director,Assisting in daily tasks and learning Design operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
192,Assistant Creative Director,Supporting the department with Design administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
193,Senior Creative Director,Executing high-level Design independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
194,Lead Creative Director,Leading a team of professionals in Design project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
195,Head of Creative Director,Defining the long-term strategy for Design departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Master's Degree / MBA"", ""technical_skills"": [""Adobe Creative Suite"", ""Trend Analysis""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
196,Junior Store Guard,Assisting in daily tasks and learning Security operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
197,Assistant Store Guard,Supporting the department with Security administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
198,Senior Store Guard,Executing high-level Security independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
199,Lead Store Guard,Leading a team of professionals in Security project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
200,Head of Store Guard,Defining the long-term strategy for Security departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
201,Junior Security Supervisor,Assisting in daily tasks and learning Security operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
202,Assistant Security Supervisor,Supporting the department with Security administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
203,Senior Security Supervisor,Executing high-level Security independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
204,Lead Security Supervisor,Leading a team of professionals in Security project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
205,Head of Security Supervisor,Defining the long-term strategy for Security departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
206,Junior Loss Prevention Specialist,Assisting in daily tasks and learning Security operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
207,Assistant Loss Prevention Specialist,Supporting the department with Security administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
208,Senior Loss Prevention Specialist,Executing high-level Security independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
209,Lead Loss Prevention Specialist,Leading a team of professionals in Security project execution and quality control to ensure business excellence.,"{""years_of_experience"": ""7+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
210,Head of Loss Prevention Specialist,Defining the long-term strategy for Security departmental growth and vision to ensure business excellence.,"{""years_of_experience"": ""10+ years"", ""education_level"": ""Not Required"", ""technical_skills"": [""Emergency Response"", ""Surveillance Systems""], ""soft_skills"": [""Leadership"", ""Critical Thinking""]}"
211,Junior Area Manager,Assisting in daily tasks and learning Management operational support to ensure business excellence.,"{""years_of_experience"": ""None"", ""education_level"": ""High School Diploma"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
212,Assistant Area Manager,Supporting the department with Management administrative and technical duties to ensure business excellence.,"{""years_of_experience"": ""1-2 years"", ""education_level"": ""Relevant Course/Certification"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
213,Senior Area Manager,Executing high-level Management independent professional tasks to ensure business excellence.,"{""years_of_experience"": ""5+ years"", ""education_level"": ""Bachelor's Degree"", ""technical_skills"": [""Office Productivity"", ""Time Management""], ""soft_skills"": [""Teamwork"", ""Punctuality""]}"
